numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07872;20220201071000;1355.000000;mq;mq;265.950000;261.760000;72;mq;mq;mq;mq;mq;mq;/;/;/;mq;263.150000;mq;266.750000;mq;0.400000;mq;mq;768.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07931;20220201064500;1665.000000;40;6.000000;269.150000;255.930000;35;0;0;0;0;0;mq;0;0;0;0.000000;mq;266.550000;mq;279.150000;0.240000;0.000000;-99;768.000000;3100.000000;mq;266.550000;mq;0;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;7;7;mq;mq;mq;
07959;20220201074000;1860.000000;0;0.000000;mq;mq;mq;0;7;0;0;0;mq;0;0;0;0.500000;mq;mq;mq;mq;0.850000;0.010000;-99;768.000000;3101.000000;mq;269.450000;mq;0;0;0;mq;mq;mq;mq;2;0;0.000000;mq;mq;mq;4;7;mq;2;mq;
07393;20220201080000;2196.000000;310;5.000000;263.250000;mq;mq;0;7;3;7;7;450;5;7;9;mq;mq;262.050000;mq;267.050000;0.750000;0.050000;-99;768.000000;3105.000000;mq;266.350000;mq;0;6;0;mq;mq;mq;mq;3;310;2.000000;0.660000;0.140000;mq;1;2;mq;mq;mq;
07498;20220201070500;1854.000000;0;0.000000;263.950000;260.170000;74;70;0;7;8;8;450;5;/;/;1.000000;mq;263.950000;mq;273.950000;0.980000;0.010000;-99;768.000000;3101.000000;mq;266.350000;mq;0;0;mq;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;1;mq;mq;mq;
07566;20220201075200;1830.000000;310;7.000000;265.750000;253.220000;36;0;7;0;4;mq;mq;2;1;/;3.200000;mq;263.450000;mq;270.950000;0.800000;0.210000;-99;768.000000;3121.000000;mq;265.550000;mq;0;mq;5;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;2;mq;mq;mq;
07721;20220201075000;1760.000000;360;3.000000;265.350000;264.820000;96;45;4;7;9;9;mq;/;/;/;17.400000;mq;264.550000;mq;269.750000;0.960000;0.160000;-99;768.000000;3116.000000;mq;265.950000;mq;0;mq;0;mq;mq;mq;mq;3;40;4.000000;1.040000;0.140000;mq;2;9;mq;0;110.000000;
07856;20220201081100;1620.000000;0;0.000000;265.850000;264.350000;89;0;0;7;6;5;250;6;1;0;13.300000;mq;265.850000;mq;270.250000;0.870000;0.160000;-99;768.000000;3116.000000;mq;267.650000;mq;0;0;0;mq;mq;mq;mq;3;40;6.000000;2.400000;0.200000;mq;1;2;mq;0;80.000000;
07875;20220201074500;1860.000000;40;3.000000;263.350000;259.590000;74;0;7;3;2;1;3500;0;4;2;5.700000;mq;262.150000;mq;269.650000;1.070000;0.050000;-99;768.000000;3105.000000;mq;259.550000;mq;0;0;9;mq;mq;mq;mq;2;360;20.000000;mq;mq;mq;3;2;mq;1;130.000000;
07876;20220201081200;1270.000000;0;0.000000;269.550000;mq;mq;0;7;4;7;7;800;6;2;/;9.700000;mq;mq;mq;mq;0.570000;0.060000;-99;768.000000;3106.000000;mq;270.850000;mq;0;0;0;mq;mq;mq;mq;2;mq;mq;mq;0.100000;mq;9;2;mq;mq;mq;
07881;20220201080000;2550.000000;40;10.000000;263.550000;260.430000;78;36;7;3;2;2;1250;0;4;0;mq;mq;259.350000;mq;268.750000;1.800000;0.050000;-99;768.000000;3105.000000;mq;264.550000;mq;0;0;9;mq;mq;mq;mq;1;40;18.000000;mq;mq;mq;2;1;mq;1;270.000000;
07884;20220201073000;1400.000000;360;2.000000;268.650000;mq;mq;0;7;7;7;7;250;5;/;/;8.200000;mq;261.150000;mq;271.650000;0.910000;0.040000;-99;768.000000;3104.000000;mq;268.750000;mq;0;0;1;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;5;mq;mq;mq;
07885;20220201083000;1603.000000;310;2.000000;268.150000;266.020000;85;0;3;3;2;1;mq;5;3;0;mq;mq;268.350000;mq;273.150000;0.700000;0.020000;-99;768.000000;3102.000000;mq;268.350000;mq;0;5;8;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;1;mq;mq;mq;
07889;20220201081500;1800.000000;0;0.000000;262.550000;261.090000;89;0;7;3;3;3;800;5;3;0;2.800000;mq;262.550000;mq;271.550000;0.500000;0.090000;-99;768.000000;3109.000000;mq;265.650000;mq;0;0;5;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;2;mq;mq;mq;
07892;20220201073000;1700.000000;0;0.000000;262.350000;261.170000;91;0;7;0;1;1;30;5;0;0;2.600000;mq;262.350000;mq;271.950000;0.870000;0.040000;-99;768.000000;3104.000000;mq;267.050000;mq;0;8;5;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;9;4;mq;2;mq;
07893;20220201081500;1780.000000;0;0.000000;263.250000;261.350000;86;0;0;0;3;3;250;5;3;0;5.000000;mq;262.850000;mq;270.650000;0.990000;0.050000;-99;768.000000;3105.000000;mq;265.550000;mq;0;0;9;mq;mq;mq;mq;2;360;7.000000;1.400000;0.100000;mq;9;2;mq;2;mq;
07895;20220201064500;1970.000000;0;0.000000;261.950000;260.640000;90;0;7;3;4;1;450;2;0;9;2.500000;mq;261.950000;mq;271.650000;0.950000;0.050000;-99;768.000000;3105.000000;mq;266.750000;mq;0;6;0;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;4;mq;2;mq;
07920;20220201083000;1720.000000;0;0.000000;265.850000;256.700000;48;0;7;0;0;0;mq;0;0;0;0.100000;mq;265.350000;mq;271.650000;0.380000;0.010000;-99;768.000000;3101.000000;mq;267.150000;mq;0;0;5;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;9;7;mq;2;mq;
07926;20220201080000;2185.000000;40;5.000000;266.850000;255.740000;41;0;3;0;0;0;mq;0;0;0;0.000000;mq;263.550000;mq;273.550000;0.670000;0.000000;-99;768.000000;3100.000000;mq;263.950000;mq;0;0;9;mq;mq;mq;mq;1;270;30.000000;mq;mq;mq;3;3;mq;1;220.000000;
07945;20220201080000;1270.000000;360;14.000000;276.850000;260.000000;28;0;0;0;0;0;mq;0;0;0;0.000000;mq;267.950000;mq;283.250000;0.050000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;0;0;5;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0;0;0;mq;mq;
07953;20220201081500;1800.000000;0;0.000000;271.950000;261.240000;44;0;7;0;0;0;mq;0;0;0;0.300000;mq;267.650000;mq;276.550000;0.920000;0.010000;-99;768.000000;3101.000000;mq;266.250000;mq;0;0;5;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;8;6;mq;2;mq;
07957;20220201083000;1740.000000;0;0.000000;269.550000;260.620000;50;0;7;3;0;0;mq;0;0;0;1.700000;mq;267.250000;mq;276.850000;1.450000;0.010000;-99;768.000000;3101.000000;mq;267.250000;mq;0;3;2;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;9;4;mq;2;mq;
07968;20220201081500;1569.000000;90;2.000000;271.550000;266.220000;67;0;4;7;0;0;mq;0;0;0;0.400000;mq;267.950000;mq;283.450000;0.300000;0.010000;-99;768.000000;3101.000000;mq;270.150000;mq;0;5;0;mq;mq;mq;mq;1;0;0.000000;1.470000;mq;mq;2;4;mq;2;0.000000;
07969;20220201080500;1763.000000;0;0.000000;267.850000;266.180000;88;0;7;0;0;0;mq;0;0;0;0.500000;mq;267.550000;mq;275.150000;0.910000;0.010000;-99;768.000000;3101.000000;mq;264.050000;mq;0;2;0;mq;mq;mq;mq;1;0;0.000000;1.700000;0.010000;mq;3;9;mq;1;200.000000;
07970;20220201081500;1789.000000;310;5.000000;267.250000;261.340000;63;0;7;0;0;0;mq;0;0;0;6.000000;mq;265.750000;mq;274.450000;0.950000;0.050000;-99;768.000000;3105.000000;mq;268.250000;mq;0;0;4;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;4;mq;1;250.000000;
07974;20220201083000;1500.000000;40;2.000000;269.150000;265.380000;75;0;7;7;6;6;800;5;/;/;5.800000;mq;268.450000;mq;276.650000;1.000000;0.050000;-99;768.000000;3105.000000;mq;271.050000;mq;0;0;9;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;9;2;mq;2;280.000000;
07454;20220201083500;1535.000000;270;2.000000;265.950000;mq;mq;70;7;0;8;8;450;0;2;/;9.400000;mq;mq;mq;mq;0.500000;0.070000;-99;768.000000;3107.000000;mq;269.750000;mq;0;0;mq;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;9;7;mq;1;220.000000;
07575;20220201083300;2134.000000;0;2.000000;270.850000;256.740000;33;0;7;3;1;0;8000;0;0;2;0.700000;mq;263.950000;mq;274.850000;0.620000;0.010000;-99;768.000000;3101.000000;mq;266.050000;mq;0;0;9;mq;mq;mq;mq;2;360;16.000000;0.730000;0.010000;mq;2;3;mq;2;mq;
07595;20220201090000;1915.000000;360;2.000000;266.750000;261.440000;66;0;7;3;2;2;80;5;0;0;0.100000;mq;264.250000;mq;271.350000;0.450000;0.010000;-99;768.000000;3101.000000;mq;263.050000;mq;0;0;9;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;6;6;mq;mq;mq;
07725;20220201083500;1456.000000;270;2.000000;269.050000;267.940000;92;0;7;6;0;0;mq;0;0;0;8.700000;mq;268.550000;mq;274.250000;0.510000;0.020000;-99;768.000000;3102.000000;mq;272.450000;mq;0;0;mq;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;9;7;mq;2;mq;
07813;20220201085000;1210.000000;0;0.000000;269.150000;mq;mq;0;7;3;mq;mq;mq;/;/;/;16.700000;mq;mq;mq;mq;0.970000;0.120000;-99;768.000000;3112.000000;mq;267.550000;mq;0;mq;mq;mq;mq;mq;mq;2;mq;mq;1.070000;0.170000;mq;0;0;0;mq;mq;
07919;20220201083500;2130.000000;130;5.000000;272.750000;259.480000;36;0;3;0;0;0;mq;0;0;0;0.000000;mq;264.950000;mq;276.650000;0.600000;0.000000;-99;768.000000;3100.000000;mq;265.650000;mq;0;0;6;mq;mq;mq;mq;1;40;15.000000;mq;mq;mq;3;4;mq;2;mq;
07923;20220201085500;1895.000000;0;0.000000;269.950000;258.250000;40;0;0;0;1;0;8000;0;0;2;0.000000;mq;265.150000;mq;274.150000;0.400000;0.000000;-99;768.000000;3100.000000;mq;267.550000;mq;0;0;9;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;4;8;mq;2;mq;
07942;20220201080000;1910.000000;0;0.000000;270.050000;255.290000;31;0;0;0;0;0;mq;0;0;0;0.000000;mq;267.850000;mq;278.150000;0.280000;0.000000;-99;768.000000;3100.000000;mq;263.850000;mq;0;0;0;mq;mq;mq;mq;1;360;4.000000;mq;mq;mq;7;5;mq;2;mq;
07952;20220201082000;1840.000000;0;0.000000;mq;mq;mq;0;4;3;0;0;mq;0;0;0;5.700000;mq;mq;mq;mq;1.850000;0.050000;-99;768.000000;3105.000000;mq;267.950000;mq;0;0;5;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;9;7;mq;2;mq;
07964;20220201085000;2020.000000;0;0.000000;268.950000;263.540000;66;0;4;7;0;0;mq;0;0;0;3.800000;mq;265.050000;mq;275.150000;1.300000;0.050000;-99;768.000000;3105.000000;mq;265.150000;mq;0;0;5;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;2;mq;2;mq;
07965;20220201084900;1460.000000;0;0.000000;272.250000;268.020000;73;0;7;3;0;0;mq;0;0;0;0.100000;mq;271.550000;mq;278.950000;0.300000;0.010000;-99;768.000000;3101.000000;mq;270.150000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;1;9;mq;2;mq;
07715;20220201085500;2125.000000;90;2.000000;267.950000;258.390000;47;0;0;0;0;0;mq;0;0;0;0.000000;mq;264.850000;mq;mq;0.400000;0.000000;-99;768.000000;3100.000000;mq;266.050000;mq;0;0;6;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;4;7;mq;2;mq;
07861;20220201080000;1635.000000;270;2.000000;265.750000;263.960000;87;71;7;3;9;8;mq;/;/;/;10.300000;mq;264.950000;mq;269.650000;1.000000;0.100000;-99;768.000000;3110.000000;mq;269.450000;mq;0;mq;0;mq;mq;mq;mq;3;270;2.000000;mq;mq;mq;9;2;mq;0;100.000000;
07877;20220201090000;1642.000000;0;7.000000;265.550000;253.670000;38;0;7;3;7;7;80;5;/;/;3.000000;mq;264.150000;mq;272.250000;0.650000;0.020000;-99;768.000000;3102.000000;mq;267.850000;mq;0;0;mq;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;1;5;mq;1;280.000000;
07882;20220201082000;1382.000000;310;10.000000;268.350000;267.110000;91;0;7;4;7;6;450;6;1;/;8.400000;mq;268.050000;mq;272.550000;0.700000;0.080000;-99;768.000000;3108.000000;mq;268.750000;mq;0;mq;9;mq;mq;mq;mq;2;360;15.000000;1.000000;mq;mq;9;3;mq;0;130.000000;
07894;20220201082000;1350.000000;0;0.000000;268.350000;267.110000;91;0;7;0;8;8;150;5;/;/;3.600000;mq;267.150000;mq;274.150000;0.420000;0.040000;-99;768.000000;3104.000000;mq;269.950000;mq;0;0;mq;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;4;mq;2;mq;
07907;20220201084000;1585.000000;0;0.000000;270.450000;265.550000;69;0;7;3;5;4;250;2;0;2;3.900000;mq;264.750000;mq;274.450000;0.640000;0.050000;-99;768.000000;3105.000000;mq;268.350000;mq;0;0;2;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;4;mq;1;240.000000;
07912;20220201070000;1713.000000;220;2.000000;264.950000;262.730000;84;0;7;3;2;2;250;5;0;0;0.800000;mq;264.450000;mq;272.450000;0.690000;0.020000;-99;768.000000;3102.000000;mq;263.250000;mq;0;0;8;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;4;mq;mq;mq;
07927;20220201083000;2100.000000;40;5.000000;273.450000;253.070000;20;0;0;3;1;0;8000;0;0;2;0.000000;mq;265.050000;mq;274.550000;0.430000;0.000000;-99;768.000000;3100.000000;mq;266.450000;mq;0;0;5;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;5;mq;2;mq;
07928;20220201084500;1530.000000;220;2.000000;267.250000;266.160000;92;0;7;0;8;8;150;5;/;/;11.500000;mq;266.250000;mq;271.250000;0.780000;0.170000;-99;768.000000;3117.000000;mq;269.950000;mq;0;0;1;mq;mq;mq;mq;3;220;2.000000;1.030000;0.170000;mq;9;9;mq;0;90.000000;
07960;20220201083000;1590.000000;270;2.000000;270.050000;267.250000;81;0;7;6;0;0;mq;0;0;0;mq;mq;268.450000;mq;278.950000;0.520000;0.020000;-99;768.000000;3102.000000;mq;271.950000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;9;7;mq;2;mq;
07589;20220201083000;1570.000000;360;2.000000;267.650000;mq;mq;0;7;3;1;1;3500;0;3;0;1.000000;mq;265.650000;mq;273.950000;0.420000;0.060000;-99;768.000000;3106.000000;mq;269.950000;mq;0;0;9;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;9;mq;0;mq;
07925;20220201074000;1905.000000;360;22.000000;268.850000;254.960000;33;0;7;3;2;1;1750;0;4;2;0.800000;mq;268.850000;mq;276.350000;0.420000;0.010000;-99;768.000000;3101.000000;mq;264.950000;mq;0;0;5;mq;mq;mq;mq;1;360;22.000000;0.530000;0.020000;mq;5;6;mq;2;mq;
07940;20220201091000;1900.000000;40;8.000000;276.150000;259.830000;29;0;0;0;0;0;mq;0;0;0;0.000000;mq;267.050000;mq;276.950000;0.230000;0.000000;-99;768.000000;3100.000000;mq;267.150000;mq;0;0;0;mq;mq;mq;mq;1;40;8.000000;mq;mq;mq;4;3;mq;2;mq;
07818;20220201091500;1254.000000;360;7.000000;271.050000;266.680000;72;0;7;0;5;5;450;5;0;0;10.300000;mq;267.350000;mq;274.350000;0.470000;0.100000;-99;768.000000;3110.000000;mq;267.350000;mq;0;0;9;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;9;4;mq;0;160.000000;
07878;20220201083000;1600.000000;0;0.000000;269.950000;260.740000;49;0;7;3;1;1;2250;0;4;0;2.500000;mq;264.850000;mq;274.450000;0.420000;0.010000;-99;768.000000;3101.000000;mq;266.350000;mq;0;0;9;mq;mq;mq;mq;2;310;10.000000;mq;mq;mq;9;2;mq;2;mq;
07929;20220201092000;1855.000000;0;0.000000;271.250000;257.090000;33;0;0;0;2;1;3500;0;1;2;0.000000;mq;263.750000;mq;273.450000;0.720000;0.000000;-99;768.000000;3100.000000;mq;262.750000;mq;0;0;5;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;4;4;mq;1;240.000000;
07955;20220201085000;1840.000000;360;2.000000;271.550000;266.610000;69;0;7;3;3;3;800;5;0;2;0.700000;mq;267.350000;mq;276.350000;1.000000;0.010000;-99;768.000000;3101.000000;mq;268.850000;mq;0;0;4;mq;mq;mq;mq;1;360;4.000000;1.700000;0.010000;mq;1;3;mq;1;mq;
07977;20220201091500;2087.000000;360;14.000000;265.850000;264.350000;89;0;7;0;0;0;mq;0;0;0;1.000000;mq;264.650000;mq;278.150000;0.960000;0.010000;-99;768.000000;3101.000000;mq;266.150000;mq;0;0;9;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;9;3;mq;1;300.000000;
07858;20220201081500;1768.000000;0;0.000000;265.750000;265.090000;95;44;7;4;8;8;30;5;0;0;10.800000;mq;mq;mq;mq;1.130000;0.100000;-99;768.000000;3110.000000;mq;265.750000;mq;0;0;0;mq;mq;mq;mq;3;0;0.000000;1.950000;0.100000;mq;1;1;mq;0;110.000000;
07887;20220201090000;1500.000000;0;0.000000;266.650000;265.980000;95;0;7;4;7;7;30;6;/;/;7.600000;mq;265.750000;mq;270.650000;0.650000;0.070000;-99;768.000000;3107.000000;mq;267.850000;mq;0;5;mq;mq;mq;mq;mq;3;40;2.000000;1.200000;0.100000;mq;1;9;mq;2;mq;
07891;20220201090000;1209.000000;90;2.000000;269.350000;mq;mq;0;7;7;6;6;1250;0;3;0;8.200000;mq;mq;mq;mq;0.650000;0.100000;-99;768.000000;3110.000000;mq;271.650000;mq;0;0;0;mq;mq;mq;mq;3;0;0.000000;1.500000;0.120000;mq;1;2;mq;mq;mq;
07972;20220201090000;1715.000000;310;20.000000;268.250000;mq;mq;0;7;3;2;0;8000;0;0;2;mq;mq;mq;mq;mq;1.600000;0.000000;-99;768.000000;3100.000000;mq;267.950000;mq;0;0;5;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;7;7;mq;1;mq;
07596;20220201101500;1717.000000;0;0.000000;276.350000;260.830000;31;0;3;3;1;0;8000;0;0;2;0.000000;mq;267.050000;mq;276.950000;0.330000;0.000000;-99;768.000000;3100.000000;mq;267.250000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;5;mq;2;mq;
07598;20220201100700;2085.000000;40;7.000000;276.250000;262.610000;36;0;0;0;2;0;8000;0;0;9;0.000000;mq;266.350000;mq;276.250000;0.380000;0.000000;-99;768.000000;3100.000000;mq;267.350000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;4;4;mq;2;mq;
07886;20220201092000;1710.000000;40;5.000000;266.250000;264.600000;88;49;4;9;9;9;mq;/;/;/;7.400000;mq;264.450000;mq;271.150000;0.530000;0.030000;-99;768.000000;3103.000000;mq;268.050000;mq;0;mq;mq;mq;mq;mq;mq;2;40;23.000000;mq;mq;mq;9;4;mq;1;340.000000;
07896;20220201073000;1416.000000;0;0.000000;266.150000;265.210000;93;0;0;7;4;4;1750;0;2;0;5.400000;mq;265.650000;mq;273.650000;0.730000;0.090000;-99;768.000000;3109.000000;mq;267.250000;mq;0;mq;5;mq;mq;mq;mq;2;310;9.000000;mq;mq;mq;1;4;mq;0;80.000000;
07909;20220201094200;1700.000000;360;7.000000;266.650000;265.430000;91;45;7;4;9;9;mq;/;/;/;mq;mq;265.550000;mq;266.350000;1.050000;0.100000;-99;768.000000;3110.000000;mq;267.550000;mq;0;mq;9;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;3;3;mq;mq;mq;
07950;20220201100000;1590.000000;130;3.000000;270.850000;266.490000;72;0;4;7;4;4;3500;0;4;0;3.400000;mq;268.250000;mq;275.850000;0.530000;0.010000;-99;768.000000;3101.000000;mq;269.550000;mq;0;0;7;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;1;2;mq;2;mq;
07981;20220201090000;2108.000000;360;12.000000;273.550000;262.990000;45;36;3;3;0;0;mq;0;0;0;0.000000;mq;266.250000;mq;277.850000;0.750000;0.000000;-99;768.000000;3100.000000;mq;270.150000;mq;0;9;9;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;7;3;mq;2;mq;
07470;20220201073000;1850.000000;0;0.000000;266.650000;mq;mq;0;0;0;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.930000;0.080000;-99;768.000000;3108.000000;mq;266.950000;mq;0;mq;mq;mq;mq;mq;mq;2;0;0.000000;1.800000;0.150000;mq;0;0;0;mq;mq;
07567;20220201105000;2101.000000;0;0.000000;264.550000;262.780000;87;0;7;3;6;5;150;6;4;/;1.300000;mq;262.250000;mq;270.650000;0.920000;0.030000;-99;768.000000;3103.000000;mq;265.150000;mq;0;0;9;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;2;4;mq;mq;mq;
07863;20220201083000;1960.000000;270;7.000000;263.050000;261.720000;90;0;7;3;3;2;30;5;4;2;1.500000;mq;262.750000;mq;270.050000;0.680000;0.030000;-99;768.000000;3103.000000;mq;266.350000;mq;0;mq;4;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;4;2;mq;2;mq;
07901;20220201120000;1867.000000;0;0.000000;266.850000;266.320000;96;0;7;0;7;7;mq;6;/;/;mq;mq;mq;mq;mq;0.980000;0.010000;-50;750.000000;3101.000000;mq;271.050000;mq;0;mq;mq;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;1;1;mq;1;120.000000;
07926;20220201123000;2185.000000;40;10.000000;271.750000;264.990000;60;0;0;0;3;3;450;5;0;0;mq;mq;mq;mq;mq;0.660000;0.000000;-50;750.000000;3100.000000;mq;265.950000;mq;0;0;9;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;3;3;mq;1;280.000000;
07927;20220201123500;2100.000000;360;5.000000;277.150000;256.760000;21;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.430000;0.000000;-50;750.000000;3100.000000;mq;269.650000;mq;0;0;0;mq;mq;mq;mq;1;mq;mq;mq;mq;mq;7;5;mq;2;mq;
07928;20220201121500;1530.000000;0;0.000000;270.150000;268.440000;88;0;0;7;8;8;150;5;/;/;mq;mq;mq;mq;mq;0.750000;0.000000;-50;750.000000;3100.000000;mq;270.250000;mq;0;0;0;mq;mq;mq;mq;3;0;0.000000;1.030000;0.000000;mq;2;9;mq;1;80.000000;
07929;20220201124500;1855.000000;0;0.000000;276.750000;264.710000;41;0;0;0;0;0;mq;0;0;0;mq;mq;mq;mq;mq;0.720000;0.000000;-50;750.000000;3100.000000;mq;266.550000;mq;0;0;5;mq;mq;mq;mq;1;360;20.000000;mq;mq;mq;4;4;mq;1;220.000000;
